frame.time_epoch,ip.src,ip.dst,ip.proto,_ws.col.protocol,frame.len
"1744447565.396094000","192.168.1.13","151.101.192.217","6","SSL","55"
"1744447565.420721000","23.11.215.147","192.168.1.13","17","QUIC","612"
"1744447565.421212000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447565.422354000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447565.422522000","23.11.215.147","192.168.1.13","17","QUIC","765"
"1744447565.422749000","23.11.215.147","192.168.1.13","17","QUIC","65"
"1744447565.424695000","23.11.215.147","192.168.1.13","17","QUIC","157"
"1744447565.424752000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447565.424776000","23.11.215.147","192.168.1.13","17","QUIC","604"
"1744447565.424798000","23.11.215.147","192.168.1.13","17","QUIC","65"
"1744447565.424815000","23.11.215.147","192.168.1.13","17","QUIC","105"
"1744447565.424829000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447565.424847000","23.11.215.147","192.168.1.13","17","QUIC","612"
"1744447565.424865000","23.11.215.147","192.168.1.13","17","QUIC","157"
"1744447565.424881000","23.11.215.147","192.168.1.13","17","QUIC","1428"
"1744447565.424900000","23.11.215.147","192.168.1.13","17","QUIC","65"
"1744447565.424946000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447565.425127000","192.168.1.13","23.11.215.147","17","QUIC","80"
"1744447565.425221000","192.168.1.13","23.11.215.147","17","QUIC","80"
"1744447565.425260000","192.168.1.13","23.11.215.147","17","QUIC","76"
"1744447565.425289000","192.168.1.13","23.11.215.147","17","QUIC","76"
"1744447565.443681000","151.101.192.217","192.168.1.13","6","TCP","66"
